# title: 2022 President by Barangay
# unit: votes
# mode: lead
# colors: Bongbong Marcos=#bb1e1e; Leni Robredo=#ec1c8f; Manny Pacquiao=#33a02c; Isko Moreno=#1f78b4; Ping Lacson=#6a3d9a; Faisal Mangondato=#999999; Ernesto Abella=#7f7f7f; Leody de Guzman=#ff7f00; Norberto Gonzales=#8c510a; Jose Montemayor=#b15928
# series: Bongbong Marcos; Leni Robredo; Manny Pacquiao; Isko Moreno; Ping Lacson; Faisal Mangondato; Ernesto Abella; Leody de Guzman; Norberto Gonzales; Jose Montemayor
# Source: COMELEC 2022 transparency results (public domain, RA 8293 s.176)
psgc,label,Bongbong Marcos,Leni Robredo,Manny Pacquiao,Isko Moreno,Ping Lacson,Faisal Mangondato,Ernesto Abella,Leody de Guzman,Norberto Gonzales,Jose Montemayor
1380601252,BARANGAY 251,246,149,4,145,9,0,0,0,0,0
1380601253,BARANGAY 252,132,79,5,99,1,0,0,0,0,0
1380601254,BARANGAY 253,319,226,10,284,16,0,0,1,1,3
1380601255,BARANGAY 254,711,334,5,820,25,0,0,0,1,2
1380601256,BARANGAY 255,381,222,11,438,9,1,0,1,1,0
1380601257,BARANGAY 256,425,267,5,429,8,2,0,3,3,2
1380601258,BARANGAY 257,223,121,2,245,9,1,0,1,1,1
1380601259,BARANGAY 258,329,168,7,280,8,1,0,0,0,0
1380601260,BARANGAY 259,358,105,9,422,17,1,0,0,0,0
1380601261,BARANGAY 260,307,219,5,138,15,0,0,2,3,1
1380601262,BARANGAY 261,224,112,2,167,16,0,0,0,1,1
1380601263,BARANGAY 262,328,140,4,345,10,2,0,2,2,0
1380601264,BARANGAY 263,197,147,6,61,20,0,0,0,0,1
1380601265,BARANGAY 264,476,186,2,400,11,1,0,1,0,1
1380601266,BARANGAY 265,240,137,6,213,6,0,1,4,0,0
1380601267,BARANGAY 266,212,154,6,155,14,0,1,0,1,1
1380601268,BARANGAY 267,507,230,6,338,7,3,0,0,1,0
1380602001,BARANGAY 287,370,260,7,141,29,1,1,0,1,0
1380602002,BARANGAY 288,207,145,6,88,23,0,2,1,2,1
1380602003,BARANGAY 289,208,97,1,44,28,0,0,0,0,1
1380602004,BARANGAY 290,211,115,6,147,15,0,1,1,0,2
1380602005,BARANGAY 291,199,161,4,88,15,1,0,0,0,0
1380602006,BARANGAY 292,663,285,11,157,34,0,1,0,0,2
1380602007,BARANGAY 293,605,151,21,128,15,4,0,1,2,0
1380602008,BARANGAY 294,421,201,15,205,38,0,0,3,1,1
1380602009,BARANGAY 295,246,104,9,96,16,0,0,0,0,0
1380602010,BARANGAY 296,417,166,13,224,24,0,2,1,0,0
1380603003,BARANGAY 383,276,109,3,157,8,88,0,1,1,0
1380603004,BARANGAY 384,239,129,8,383,4,103,1,2,3,1
1380603005,BARANGAY 385,427,277,9,450,22,6,0,1,0,0
1380603006,BARANGAY 386,337,116,4,256,4,1,0,0,0,0
1380603007,BARANGAY 387,468,278,8,452,19,11,0,1,0,0
1380603008,BARANGAY 388,302,146,3,166,10,0,1,0,0,0
1380603009,BARANGAY 389,216,156,4,139,6,0,0,0,0,0
1380603010,BARANGAY 390,226,198,5,149,6,0,1,4,1,0
1380603011,BARANGAY 391,492,326,7,376,28,1,1,0,0,0
1380603012,BARANGAY 392,175,104,4,223,3,1,0,2,0,0
1380603013,BARANGAY 393,480,312,7,616,17,15,0,2,1,1
1380603014,BARANGAY 394,349,140,5,311,5,0,0,1,1,0
1380603015,BARANGAY 306,619,247,11,296,24,3,1,1,2,0
1380603016,BARANGAY 307,809,301,13,253,27,34,1,1,4,0
1380603017,BARANGAY 308,583,247,9,313,10,4,0,1,0,0
1380603018,BARANGAY 309,444,187,9,176,13,8,0,0,1,1
1380604001,BARANGAY 268,150,135,4,89,10,0,0,0,0,1
1380604002,BARANGAY 269,885,198,26,456,18,1,1,2,1,1
1380604003,BARANGAY 270,372,196,10,304,21,1,0,1,0,1
1380604004,BARANGAY 271,510,197,10,157,35,1,2,0,1,0
1380604005,BARANGAY 272,369,189,3,570,24,1,1,4,1,0
1380604006,BARANGAY 273,273,130,13,279,16,1,1,3,0,0
1380604007,BARANGAY 274,816,303,5,817,29,0,0,2,1,0
1380604008,BARANGAY 275,3477,856,118,2743,83,4,10,10,6,8
1380604009,BARANGAY 276,715,291,3,526,22,1,0,0,1,0
1380604014,BARANGAY 281,584,350,7,178,61,1,1,1,0,1
1380604015,BARANGAY 282,394,303,12,329,18,1,0,0,0,0
1380604016,BARANGAY 283,457,147,3,430,11,1,0,0,1,0
1380604017,BARANGAY 284,336,152,6,204,19,0,0,0,0,0
1380604018,BARANGAY 285,342,232,13,220,48,3,0,0,0,1
1380604019,BARANGAY 286,904,385,20,1108,15,0,3,5,1,2
1380605001,BARANGAY 297,305,125,11,90,17,0,1,0,2,0
1380605002,BARANGAY 298,221,82,2,129,11,0,0,0,0,0
1380605003,BARANGAY 299,447,162,9,115,17,1,1,2,0,0
1380605004,BARANGAY 300,191,67,1,80,13,1,0,0,0,0
1380605005,BARANGAY 301,219,75,3,109,11,0,0,0,1,0
1380605006,BARANGAY 302,311,109,6,86,12,1,0,0,0,1
