level,region,province,name,assets,liabilities,equity,revenue,expenses,net_assistance_subsidy,surplus_deficit,cash_begin,net_cash,cash_end
city,REGION VI,,Iloilo,39477625,4597787,34879839,5057378,3859419,-139877,1058081,5025283,516670,5541953
city,REGION VI,,Kabankalan,7702803,1210852,6491951,1854746,1622712,118499,350534,2617348,-277441,2339907
city,REGION VI,,La Carlota,3570875,638538,2932337,842078,879561,57175,19692,414445,-34651,379794
city,REGION VI,,Passi,2826556,844019,1982537,1042221,1000170,40470,82521,577026,-26576,550451
city,REGION VI,,Roxas,3592404,469732,3122672,1374766,1127981,-33235,213550,1650722,-151721,1499000
city,REGION VI,,Sagay,3848945,2178015,1670930,1333578,1234136,-52549,46893,412503,-1674,410829
city,REGION VI,,San Carlos,5170645,998524,4172121,1680831,1448343,-7098,225390,628483,63940,692423
city,REGION VI,,Silay,1789466,822129,967337,1111480,1223411,19769,-92162,276590,-120554,156037
city,REGION VI,,Sipalay,2652367,720942,1931425,1021731,954118,8641,76254,62237,-29423,32814
city,REGION VI,,Talisay,3354224,1019809,2334415,1095113,1052151,-30818,12144,774957,-98966,675991
city,REGION VI,,Victorias,2277052,564026,1713026,906539,1057012,-36148,-186621,764066,-169186,594880
city,REGION VII,,Bais,5611246,1403369,4207877,876344,715326,37726,198744,2289666,67609,2357275
city,REGION VII,,Bayawan,6533757,1887575,4646181,1633463,1580151,-71857,-18546,1658588,-635472,1023115
city,REGION VII,,Bogo,2591676,698869,1892808,835237,893923,84985,26300,269416,9415,278832
city,REGION VII,,Canlaon,,,,,,,,,,
city,REGION VII,,Carcar,4425084,1059368,3365716,1008642,773350,-29451,205842,1594270,143909,1738179
city,REGION VII,,Cebu,31402949,13121617,18281332,9221226,8476541,-501745,242940,2846176,961166,3807343
city,REGION VII,,Danao,3424033,654887,2769146,1183870,1056841,-12308,114721,709732,-123793,585939
city,REGION VII,,Dumaguete,5447489,1222438,4225051,1243787,950862,76834,369760,2117987,169589,2287576
city,REGION VII,,Guihulngan,3817177,1085291,2731886,1106727,1064285,-4496,37946,1303052,-125338,1177714
city,REGION VII,,Lapu-Lapu,11761394,3576701,8184692,4098284,3598072,989289,1489501,4169839,657898,4827738
city,REGION VII,,Mandaue,35778827,2793823,32985004,3720728,3526844,-52269,141615,3827160,-114167,3712993
city,REGION VII,,Naga,5427618,1826056,3601562,1496103,1207303,-7984,280817,1442178,222434,1664613
city,REGION VII,,Tagbilaran,3605154,714899,2890255,1261302,1039435,-36186,185681,679712,137356,817067
city,REGION VII,,Talisay,3381266,840462,2540803,1624605,1420918,27778,231465,260335,-50140,210194
city,REGION VII,,Tanjay,3419304,814860,2604443,940803,853941,-29511,57352,749902,-145233,604669
city,REGION VII,,Toledo,,,,,,,,,,
city,REGION VIII,,Baybay,5907703,1144253,4763451,1535649,1436609,57960,157000,1659804,-10324,1649480
city,REGION VIII,,Borongan,3733061,412200,3320861,1216162,845879,-5698,364586,605169,131743,736911
city,REGION VIII,,Calbayog,6292310,753861,5538449,2062355,1851098,82371,293629,773246,-69540,703706
city,REGION VIII,,Catbalogan,2281297,491241,1790056,1069172,1027085,42678,84766,1044658,-117097,927561
city,REGION VIII,,Maasin,4974201,719248,4254952,938409,702995,94664,330078,1902955,46060,1949015
city,REGION VIII,,Ormoc,8176948,1411113,6765835,2285185,2318793,-15964,-49571,2462397,-415471,2046926
city,REGION VIII,,Tacloban,5251532,1501694,3749838,1951449,1677528,24759,298680,853382,155122,1008504
city,REGION IX,,Dapitan,2347651,914411,1433240,1121154,1038898,-9914,72342,169147,22173,191320
city,REGION IX,,Dipolog,4957922,1664398,3293524,1228573,1241904,234747,221416,487821,-140162,347659
city,REGION IX,,Pagadian,11264636,2475034,8789602,1866630,1195521,-26505,644604,2639045,93974,2733018
city,REGION IX,,Zamboanga,25113246,3094151,22019096,5470712,3952291,-136360,1382062,9733314,-297957,9435357
city,REGION X,,Cagayan De Oro,16815649,8628114,8187535,5887715,5408200,-188850,290666,168570,-1712,166858
city,REGION X,,El Salvador,2311333,516991,1794343,926851,762549,-18463,145839,370556,-37093,333463
city,REGION X,,Gingoog,4895637,874446,4021190,1566330,1406515,-31735,128080,1237722,-6217,1231505
city,REGION X,,Iligan,13376671,6212459,7164213,3030552,3366647,267815,-68279,3638034,-922400,2715634
city,REGION X,,Malaybalay,5804880,746317,5058563,2243791,1985481,-91883,166427,1960649,-89115,1871533
city,REGION X,,Oroquieta,3604777,518634,3086143,920252,722687,-24383,173182,604605,6941,611545
city,REGION X,,Ozamiz,2540150,408539,2131610,1226039,942127,-52814,231098,328025,117847,445872
city,REGION X,,Tangub,2819924,515481,2304443,945637,752080,-23020,170536,902663,-140551,762112
city,REGION X,,Valencia,4445613,1559385,2886228,1990563,1726000,-53484,211079,583853,38532,622386
city,REGION XI,,Davao,37397492,8956411,28441081,17560684,10987838,-221134,6351712,16879114,2188887,19068001
city,REGION XI,,Digos,3329093,1239545,2089547,1566697,1424691,-8850,133156,563117,-63631,499486
city,REGION XI,,Island Garden City of Samal,3216250,1243759,1972491,1295668,1245669,-10725,39274,622586,-148917,473669
city,REGION XI,,Mati,2559089,1598867,960222,1670751,1542690,-1784,126277,84094,-35467,48627
city,REGION XI,,Panabo,5542829,1324293,4218536,1937224,1347716,-9923,579585,1431490,-32115,1399374
city,REGION XI,,Tagum,8380189,3731115,4649074,2595118,2066838,-13007,515273,891524,964237,1855761
city,REGION XII,,General Santos,9615897,2087277,7528620,3959690,3799941,-118193,41555,4237483,-1049024,3188459
city,REGION XII,,Kidapawan,3391606,1409290,1982315,1677434,1519658,-25469,132307,469352,-40191,429162
city,REGION XII,,Koronadal,3637251,765948,2871303,1557422,1444885,10671,123208,729637,216294,945931
city,REGION XII,,Tacurong,2684791,443462,2241329,1012500,926533,-16408,69559,715274,-24497,690777
city,REGION XIII,,Bayugan,7723071,497194,7225877,1651642,908208,-30992,712442,1760353,-428850,1331503
city,REGION XIII,,Bislig,2860090,1003739,1856351,1140452,985305,-77832,77315,1150227,-22346,1127881
city,REGION XIII,,Butuan,31373478,2190250,29183228,3334104,2218560,83108,1198653,5315286,622672,5937958
city,REGION XIII,,Cabadbaran,3754050,791680,2962370,1055738,894507,-5904,155327,1363031,-105656,1257374
city,REGION XIII,,Surigao,3965915,610452,3355463,1362726,1228852,-67385,66489,685785,-74195,611590
city,REGION XIII,,Tandag,2696594,714314,1982281,987497,840643,-31543,115312,281710,-48280,233431
city,BARMM,,Cotabato,4515794,2013719,2502076,1558512,1475512,,83000,436571,-30617,405953
city,BARMM,,Isabela,2329979,304623,2025356,971408,897572,-1177,72658,590841,-139116,451724
city,BARMM,,Lamitan,1806117,813142,992975,932668,783787,-34001,114881,291363,-53420,237943
city,BARMM,,Marawi,5305713,1711042,3594672,1090693,995505,,95189,840548,-250830,589718
municipality,NCR,,Pateros,794388,173125,621262,513656,392359,-11806,109491,220894,106713,327607
municipality,CAR,Abra,Bangued,,,,,,,,,,
municipality,CAR,Abra,Boliney,,,,,,,,,,
municipality,CAR,Abra,Bucay,501719,67263,434456,153127,93398,,59728,11877,74070,85946
municipality,CAR,Abra,Bucloc,,,,,,,,,,
municipality,CAR,Abra,Daguioman,450615,27131,423484,111540,81877,-5,29657,59925,17946,77872
municipality,CAR,Abra,Danglas,362163,16064,346099,127513,112496,-1493,13524,48411,12819,61230
municipality,CAR,Abra,Dolores,417314,13702,403611,171653,149951,-671,21031,6523,30056,36579
municipality,CAR,Abra,La Paz,358139,43400,314738,137733,147744,-235,-10246,57703,7861,65565
municipality,CAR,Abra,Lacub,,,,,,,,,,
municipality,CAR,Abra,Lagangilang,319850,92507,227343,155262,145503,,9759,1371,11477,12848
municipality,CAR,Abra,Lagayan,458659,64353,394306,145639,145090,-815,-267,16082,13154,29236
municipality,CAR,Abra,Langiden,,,,,,,,,,
municipality,CAR,Abra,Licuan-Baay,,,,,,,,,,
municipality,CAR,Abra,Luba,472132,93395,378737,224928,183426,-2489,39014,68377,92922,161299
municipality,CAR,Abra,Malibcong,,,,,,,,,,
municipality,CAR,Abra,Manabo,533724,162370,371354,136739,122103,-1069,13567,31054,19309,50363
municipality,CAR,Abra,Peñarrubia,587861,54960,532901,113623,84356,-111,29156,22263,32162,54425
municipality,CAR,Abra,Pidigan,,,,,,,,,,
municipality,CAR,Abra,Pilar,3802175,89111,3713064,1293543,443906,-2365,847272,199536,428255,627790
municipality,CAR,Abra,Sal-lapadan,614794,173927,440867,116054,90508,-762,24784,45100,97930,143030
municipality,CAR,Abra,San Isidro,,,,,,,,,,
municipality,CAR,Abra,San Juan,491347,27199,464148,131633,97341,,34292,18262,22969,41230
municipality,CAR,Abra,San Quintin,483039,12122,470917,132752,110768,-2557,19427,29095,13488,42582
municipality,CAR,Abra,Tayum,904652,110327,794325,248122,210214,10857,48765,37676,31135,68811
municipality,CAR,Abra,Tineg,959569,102234,857334,267631,227813,-5120,34699,87153,7518,94671
municipality,CAR,Abra,Tubo,556493,80732,475761,204806,162175,-89,42541,34417,49340,83758
municipality,CAR,Abra,Villaviciosa,,,,,,,,,,
municipality,CAR,Apayao,Calanasan,1196910,92096,1104813,402771,350545,185352,237578,317739,-70966,246773
municipality,CAR,Apayao,Conner,914821,219400,695421,295968,270453,-7095,18420,107721,36302,144023
municipality,CAR,Apayao,Flora,600438,97534,502903,189159,186185,92705,95679,106147,19472,125620
municipality,CAR,Apayao,Kabugao,927700,64881,862819,322696,250263,-4764,67669,228100,35982,264082
municipality,CAR,Apayao,Luna,575245,32521,542724,268378,201008,-1419,65951,211599,-5024,206575
municipality,CAR,Apayao,Pudtol,535775,322847,212929,182831,176501,,6329,106626,-1952,104674
municipality,CAR,Apayao,Sta. Marcela,433288,42679,390609,136084,109146,-35,26902,56571,-4577,51994
municipality,CAR,Benguet,Atok,511327,60992,450335,158983,132714,-3434,22836,244270,20648,264918
municipality,CAR,Benguet,Bakun,480805,60392,420414,166832,137781,-6606,22445,71850,7745,79595
municipality,CAR,Benguet,Bokod,905751,81384,824366,195923,220012,-3514,-27603,195679,-59679,136000
municipality,CAR,Benguet,Buguias,8217288,52022,8165266,293249,170334,-5009,117907,197798,22751,220550
municipality,CAR,Benguet,Itogon,2019833,287709,1732124,426488,417935,51153,59706,439414,-85776,353638
municipality,CAR,Benguet,Kabayan,440350,100620,339730,162023,130726,-4025,27273,108365,2925,111290
