psgc,level,name,region,province,assets,liabilities,equity,revenue,expenses,net_assistance_subsidy,surplus_deficit,cash_begin,net_cash,cash_end
0304908000,city,Gapan,REGION III,,2970933,1026397,1944537,991290,913876,38246,115660,167205,166861,334066
0305409000,city,Mabalacat,REGION III,,2828495,1141204,1687291,2321517,2226443,6023,101097,417497,-2042,415455
0301410000,city,Malolos,REGION III,,3208217,972570,2235648,1609941,1581448,-35363,-6870,1017544,-316179,701364
0301412000,city,Meycauyan,REGION III,,9833949,2387125,7446824,2574808,1545626,-20057,1009125,3088833,551128,3639961
0331400000,city,Olongapo,REGION III,,10713617,7754391,2959226,2220863,2164899,-49925,6039,1819740,-49787,1769954
0304919000,city,Palayan,REGION III,,1747680,251704,1495976,635235,538258,-18586,78391,357712,34036,391748
0305416000,city,San Fernando,REGION III,,6585309,1878101,4707208,2591821,2406622,-10398,174801,1729151,39063,1768215
0304926000,city,San Jose,REGION III,,4482177,937662,3544516,1240121,1309543,377297,307874,372209,-133295,238914
0301420000,city,San Jose Del Monte,REGION III,,5792250,1201009,4591241,2944545,2850610,-50320,43615,1361766,-50633,1311134
0304917000,city,Science City of Muñoz,REGION III,,3054453,632278,2422176,893112,700597,28429,220943,458366,66959,525325
0306916000,city,Tarlac,REGION III,,8013388,1819239,6194148,2715576,1953180,-97777,664619,1263128,424067,1687195
0405802000,city,Antipolo,REGION IV-A,,22690463,6351612,16338851,5693718,4649744,-62542,981432,9110314,341424,9451738
0402103000,city,Bacoor,REGION IV-A,,9194559,2596677,6597882,3539599,2958170,150494,731923,2470182,62007,2532189
0401005000,city,Batangas,REGION IV-A,,12994835,2428591,10566244,4588348,4186351,70622,472619,4659584,-252767,4406817
0403403000,city,Biñan,REGION IV-A,,11968897,4500267,7468631,3890385,3528967,-5593,355825,1252383,-262757,989625
0403404000,city,Cabuyao,REGION IV-A,,7117752,1943747,5174005,2978971,3151891,-33859,-206778,1767958,-1023902,744056
0401007000,city,Calaca,REGION IV-A,,4235828,1150344,3085484,1896067,1130946,55439,820560,1393559,541089,1934649
0403405000,city,Calamba,REGION IV-A,,19918783,7463800,12454983,6509430,6028896,-261127,219408,6650820,-581452,6069368
0402104000,city,Carmona,REGION IV-A,,7644903,667349,6977554,1866085,1172405,-21410,672270,1607308,476325,2083633
0402105000,city,Cavite,REGION IV-A,,1961867,339477,1622390,757816,717798,-17897,22121,546843,-27779,519064
0402106000,city,Dasmariñas,REGION IV-A,,15211023,4890031,10320992,4138339,3501332,-46820,590187,3233310,-207141,3026170
0402108000,city,General Trias,REGION IV-A,,7698008,504200,7193808,3565583,2643774,-15768,906041,1788926,-50765,1738161
0402109000,city,Imus,REGION IV-A,,7823367,3660020,4163347,3211987,2945855,-34580,231552,1471088,-105528,1365560
0401014000,city,Lipa,REGION IV-A,,7171145,1567821,5603323,3427213,2939463,397444,885195,3133440,-219345,2914095
0431200000,city,Lucena,REGION IV-A,,3850130,1800945,2049185,1817613,1810923,-17078,-10388,718568,-58461,660107
0403424000,city,San Pablo,REGION IV-A,,5042988,1199716,3843272,1942279,1811486,-12884,117909,410846,-174339,236507
0403425000,city,San Pedro,REGION IV-A,,8038148,2504500,5533647,2217310,2241770,-14734,-39195,1126846,-161447,965399
0403428000,city,Santa Rosa,REGION IV-A,,19616355,4381108,15235246,6251044,6581723,-30640,-361319,2127905,-135028,1992878
0401028000,city,Santo Tomas,REGION IV-A,,5012221,1092623,3919598,2025091,1934809,87697,177978,1244371,-99575,1144796
0402119000,city,Tagaytay,REGION IV-A,,10025387,3353568,6671819,1881959,1306903,-41386,533671,2327317,497712,2825028
0401031000,city,Tanauan,REGION IV-A,,8696971,919394,7777577,2968415,2430199,100566,638783,3538754,-214695,3324060
0405647000,city,Tayabas,REGION IV-A,,4108837,1204542,2904295,1117285,1012951,-56124,48209,1048352,-160332,888020
0402122000,city,Trece Martires,REGION IV-A,,4546055,1298227,3247828,1525286,1270599,-10825,243861,1555807,187341,1743148
1705205000,city,Calapan,REGION IV-B,,2483751,817079,1666672,1279625,1364921,79398,-5899,436749,94294,531043
1731500000,city,Puerto Princesa,REGION IV-B,,19653924,3848413,15805510,5296069,4056873,-123959,1115238,5718495,-257602,5460893
0501716000,city,Iriga,REGION V,,2084332,778222,1306110,929857,692888,-24465,212504,523800,-7723,516077
0500506000,city,Legazpi,REGION V,,6997596,889529,6108068,1832840,1578539,-23685,230616,1769439,207770,1977209
0500508000,city,Ligao,REGION V,,4381368,433745,3947622,1072672,870926,-35668,166079,1075022,118504,1193527
0504111000,city,Masbate,REGION V,,2213981,657268,1556713,967474,934380,-17644,15450,158587,-8441,150147
0501724000,city,Naga,REGION V,,8948525,3857100,5091425,1926975,1708956,-12335,205684,846958,130086,977044
0506216000,city,Sorsogon,REGION V,,3676562,1192555,2484007,1531618,1757791,195596,-30577,355750,-35105,320645
0500517000,city,Tabaco,REGION V,,4360287,896584,3463703,979370,796698,-46564,136107,1174296,-20254,1154043
1830200000,city,Bacolod,REGION VI,,11759494,5313923,6445571,3467019,3050911,-89935,326173,2529701,-66641,2463060
1804502000,city,Bago,REGION VI,,3341258,774547,2566711,1537074,1426293,-27304,83478,500550,-15430,485119
1804504000,city,Cadiz,REGION VI,,5632455,2357165,3275290,1574195,1568023,43689,49862,687463,-66351,621112
1804509000,city,Escalante,REGION VI,,2773681,845298,1928383,966903,878205,-19183,69515,416629,21632,438261
1804510000,city,Himamaylan,REGION VI,,3565842,907626,2658216,1114286,1105760,102873,111398,567659,-129789,437870
0631000000,city,Iloilo,REGION VI,,39477625,4597787,34879839,5057378,3859419,-139877,1058081,5025283,516670,5541953
1804515000,city,Kabankalan,REGION VI,,7702803,1210852,6491951,1854746,1622712,118499,350534,2617348,-277441,2339907
1804516000,city,La Carlota,REGION VI,,3570875,638538,2932337,842078,879561,57175,19692,414445,-34651,379794
0603035000,city,Passi,REGION VI,,2826556,844019,1982537,1042221,1000170,40470,82521,577026,-26576,550451
0601914000,city,Roxas,REGION VI,,3592404,469732,3122672,1374766,1127981,-33235,213550,1650722,-151721,1499000
1804523000,city,Sagay,REGION VI,,3848945,2178015,1670930,1333578,1234136,-52549,46893,412503,-1674,410829
1804524000,city,San Carlos,REGION VI,,5170645,998524,4172121,1680831,1448343,-7098,225390,628483,63940,692423
1804526000,city,Silay,REGION VI,,1789466,822129,967337,1111480,1223411,19769,-92162,276590,-120554,156037
1804527000,city,Sipalay,REGION VI,,2652367,720942,1931425,1021731,954118,8641,76254,62237,-29423,32814
1804528000,city,Talisay,REGION VI,,3354224,1019809,2334415,1095113,1052151,-30818,12144,774957,-98966,675991
1804531000,city,Victorias,REGION VI,,2277052,564026,1713026,906539,1057012,-36148,-186621,764066,-169186,594880
1804604000,city,Bais,REGION VII,,5611246,1403369,4207877,876344,715326,37726,198744,2289666,67609,2357275
1804606000,city,Bayawan,REGION VII,,6533757,1887575,4646181,1633463,1580151,-71857,-18546,1658588,-635472,1023115
0702211000,city,Bogo,REGION VII,,2591676,698869,1892808,835237,893923,84985,26300,269416,9415,278832
1804608000,city,Canlaon,REGION VII,,,,,,,,,,,
0702214000,city,Carcar,REGION VII,,4425084,1059368,3365716,1008642,773350,-29451,205842,1594270,143909,1738179
0730600000,city,Cebu,REGION VII,,31402949,13121617,18281332,9221226,8476541,-501745,242940,2846176,961166,3807343
0702223000,city,Danao,REGION VII,,3424033,654887,2769146,1183870,1056841,-12308,114721,709732,-123793,585939
1804610000,city,Dumaguete,REGION VII,,5447489,1222438,4225051,1243787,950862,76834,369760,2117987,169589,2287576
1804611000,city,Guihulngan,REGION VII,,3817177,1085291,2731886,1106727,1064285,-4496,37946,1303052,-125338,1177714
0731100000,city,Lapu-Lapu,REGION VII,,11761394,3576701,8184692,4098284,3598072,989289,1489501,4169839,657898,4827738
0731300000,city,Mandaue,REGION VII,,35778827,2793823,32985004,3720728,3526844,-52269,141615,3827160,-114167,3712993
0702234000,city,Naga,REGION VII,,5427618,1826056,3601562,1496103,1207303,-7984,280817,1442178,222434,1664613
0701242000,city,Tagbilaran,REGION VII,,3605154,714899,2890255,1261302,1039435,-36186,185681,679712,137356,817067
0702250000,city,Talisay,REGION VII,,3381266,840462,2540803,1624605,1420918,27778,231465,260335,-50140,210194
1804621000,city,Tanjay,REGION VII,,3419304,814860,2604443,940803,853941,-29511,57352,749902,-145233,604669
0702251000,city,Toledo,REGION VII,,,,,,,,,,,
0803708000,city,Baybay,REGION VIII,,5907703,1144253,4763451,1535649,1436609,57960,157000,1659804,-10324,1649480
0802604000,city,Borongan,REGION VIII,,3733061,412200,3320861,1216162,845879,-5698,364586,605169,131743,736911
0806003000,city,Calbayog,REGION VIII,,6292310,753861,5538449,2062355,1851098,82371,293629,773246,-69540,703706
0806005000,city,Catbalogan,REGION VIII,,2281297,491241,1790056,1069172,1027085,42678,84766,1044658,-117097,927561
0806407000,city,Maasin,REGION VIII,,4974201,719248,4254952,938409,702995,94664,330078,1902955,46060,1949015
0803738000,city,Ormoc,REGION VIII,,8176948,1411113,6765835,2285185,2318793,-15964,-49571,2462397,-415471,2046926
0831600000,city,Tacloban,REGION VIII,,5251532,1501694,3749838,1951449,1677528,24759,298680,853382,155122,1008504
0907201000,city,Dapitan,REGION IX,,2347651,914411,1433240,1121154,1038898,-9914,72342,169147,22173,191320
0907202000,city,Dipolog,REGION IX,,4957922,1664398,3293524,1228573,1241904,234747,221416,487821,-140162,347659
0907322000,city,Pagadian,REGION IX,,11264636,2475034,8789602,1866630,1195521,-26505,644604,2639045,93974,2733018
0931700000,city,Zamboanga,REGION IX,,25113246,3094151,22019096,5470712,3952291,-136360,1382062,9733314,-297957,9435357
1030500000,city,Cagayan De Oro,REGION X,,16815649,8628114,8187535,5887715,5408200,-188850,290666,168570,-1712,166858
1004307000,city,El Salvador,REGION X,,2311333,516991,1794343,926851,762549,-18463,145839,370556,-37093,333463
1004308000,city,Gingoog,REGION X,,4895637,874446,4021190,1566330,1406515,-31735,128080,1237722,-6217,1231505
1030900000,city,Iligan,REGION X,,13376671,6212459,7164213,3030552,3366647,267815,-68279,3638034,-922400,2715634
1001312000,city,Malaybalay,REGION X,,5804880,746317,5058563,2243791,1985481,-91883,166427,1960649,-89115,1871533
1004209000,city,Oroquieta,REGION X,,3604777,518634,3086143,920252,722687,-24383,173182,604605,6941,611545
1004210000,city,Ozamiz,REGION X,,2540150,408539,2131610,1226039,942127,-52814,231098,328025,117847,445872
1004215000,city,Tangub,REGION X,,2819924,515481,2304443,945637,752080,-23020,170536,902663,-140551,762112
1001321000,city,Valencia,REGION X,,4445613,1559385,2886228,1990563,1726000,-53484,211079,583853,38532,622386
1130700000,city,Davao,REGION XI,,37397492,8956411,28441081,17560684,10987838,-221134,6351712,16879114,2188887,19068001
1102403000,city,Digos,REGION XI,,3329093,1239545,2089547,1566697,1424691,-8850,133156,563117,-63631,499486
1102317000,city,Island Garden City of Samal,REGION XI,,3216250,1243759,1972491,1295668,1245669,-10725,39274,622586,-148917,473669
1102509000,city,Mati,REGION XI,,2559089,1598867,960222,1670751,1542690,-1784,126277,84094,-35467,48627
1102315000,city,Panabo,REGION XI,,5542829,1324293,4218536,1937224,1347716,-9923,579585,1431490,-32115,1399374
1102319000,city,Tagum,REGION XI,,8380189,3731115,4649074,2595118,2066838,-13007,515273,891524,964237,1855761
1230800000,city,General Santos,REGION XII,,9615897,2087277,7528620,3959690,3799941,-118193,41555,4237483,-1049024,3188459
1204704000,city,Kidapawan,REGION XII,,3391606,1409290,1982315,1677434,1519658,-25469,132307,469352,-40191,429162
1206306000,city,Koronadal,REGION XII,,3637251,765948,2871303,1557422,1444885,10671,123208,729637,216294,945931
1206511000,city,Tacurong,REGION XII,,2684791,443462,2241329,1012500,926533,-16408,69559,715274,-24497,690777
1600301000,city,Bayugan,REGION XIII,,7723071,497194,7225877,1651642,908208,-30992,712442,1760353,-428850,1331503
1606803000,city,Bislig,REGION XIII,,2860090,1003739,1856351,1140452,985305,-77832,77315,1150227,-22346,1127881
1630400000,city,Butuan,REGION XIII,,31373478,2190250,29183228,3334104,2218560,83108,1198653,5315286,622672,5937958
1600203000,city,Cabadbaran,REGION XIII,,3754050,791680,2962370,1055738,894507,-5904,155327,1363031,-105656,1257374
1606724000,city,Surigao,REGION XIII,,3965915,610452,3355463,1362726,1228852,-67385,66489,685785,-74195,611590
1606819000,city,Tandag,REGION XIII,,2696594,714314,1982281,987497,840643,-31543,115312,281710,-48280,233431
1908703000,city,Cotabato,BARMM,,4515794,2013719,2502076,1558512,1475512,,83000,436571,-30617,405953
0990101000,city,Isabela,BARMM,,2329979,304623,2025356,971408,897572,-1177,72658,590841,-139116,451724
1900702000,city,Lamitan,BARMM,,1806117,813142,992975,932668,783787,-34001,114881,291363,-53420,237943
1903617000,city,Marawi,BARMM,,5305713,1711042,3594672,1090693,995505,,95189,840548,-250830,589718
1381701000,municipality,Pateros,NCR,,794388,173125,621262,513656,392359,-11806,109491,220894,106713,327607
1400101000,municipality,Bangued,CAR,Abra,,,,,,,,,,
1400102000,municipality,Boliney,CAR,Abra,,,,,,,,,,
1400103000,municipality,Bucay,CAR,Abra,501719,67263,434456,153127,93398,,59728,11877,74070,85946
1400104000,municipality,Bucloc,CAR,Abra,,,,,,,,,,
1400105000,municipality,Daguioman,CAR,Abra,450615,27131,423484,111540,81877,-5,29657,59925,17946,77872
1400106000,municipality,Danglas,CAR,Abra,362163,16064,346099,127513,112496,-1493,13524,48411,12819,61230
1400107000,municipality,Dolores,CAR,Abra,417314,13702,403611,171653,149951,-671,21031,6523,30056,36579
1400108000,municipality,La Paz,CAR,Abra,358139,43400,314738,137733,147744,-235,-10246,57703,7861,65565
1400109000,municipality,Lacub,CAR,Abra,,,,,,,,,,
1400110000,municipality,Lagangilang,CAR,Abra,319850,92507,227343,155262,145503,,9759,1371,11477,12848
1400111000,municipality,Lagayan,CAR,Abra,458659,64353,394306,145639,145090,-815,-267,16082,13154,29236
1400112000,municipality,Langiden,CAR,Abra,,,,,,,,,,
1400113000,municipality,Licuan-Baay,CAR,Abra,,,,,,,,,,
