dataset_id,psgc,value,category,detail
elections-2022-president,1380601090,,Bongbong Marcos,"{""Isko_Moreno"":211,""Ping_Lacson"":14,""Leni_Robredo"":161,""Ernesto_Abella"":0,""Manny_Pacquiao"":3,""Bongbong_Marcos"":253,""Jose_Montemayor"":2,""Leody_de_Guzman"":1,""Faisal_Mangondato"":0,""Norberto_Gonzales"":0}"
elections-2022-president,1380601091,,Isko Moreno,"{""Isko_Moreno"":996,""Ping_Lacson"":21,""Leni_Robredo"":419,""Ernesto_Abella"":0,""Manny_Pacquiao"":11,""Bongbong_Marcos"":806,""Jose_Montemayor"":1,""Leody_de_Guzman"":3,""Faisal_Mangondato"":1,""Norberto_Gonzales"":0}"
elections-2022-president,1380601092,,Isko Moreno,"{""Isko_Moreno"":579,""Ping_Lacson"":20,""Leni_Robredo"":289,""Ernesto_Abella"":2,""Manny_Pacquiao"":2,""Bongbong_Marcos"":538,""Jose_Montemayor"":1,""Leody_de_Guzman"":1,""Faisal_Mangondato"":3,""Norberto_Gonzales"":2}"
elections-2022-president,1380601093,,Isko Moreno,"{""Isko_Moreno"":1032,""Ping_Lacson"":10,""Leni_Robredo"":350,""Ernesto_Abella"":0,""Manny_Pacquiao"":14,""Bongbong_Marcos"":722,""Jose_Montemayor"":0,""Leody_de_Guzman"":0,""Faisal_Mangondato"":3,""Norberto_Gonzales"":0}"
elections-2022-president,1380601094,,Isko Moreno,"{""Isko_Moreno"":511,""Ping_Lacson"":14,""Leni_Robredo"":187,""Ernesto_Abella"":0,""Manny_Pacquiao"":8,""Bongbong_Marcos"":416,""Jose_Montemayor"":0,""Leody_de_Guzman"":0,""Faisal_Mangondato"":0,""Norberto_Gonzales"":0}"
elections-2022-president,1380601095,,Isko Moreno,"{""Isko_Moreno"":1262,""Ping_Lacson"":19,""Leni_Robredo"":388,""Ernesto_Abella"":0,""Manny_Pacquiao"":10,""Bongbong_Marcos"":780,""Jose_Montemayor"":1,""Leody_de_Guzman"":5,""Faisal_Mangondato"":0,""Norberto_Gonzales"":0}"
elections-2022-president,0100000000,,Bongbong Marcos,"{""Isko_Moreno"":48202,""Ping_Lacson"":31075,""Leni_Robredo"":330436,""Ernesto_Abella"":4668,""Manny_Pacquiao"":34528,""Bongbong_Marcos"":2552114,""Jose_Montemayor"":2411,""Leody_de_Guzman"":4130,""Faisal_Mangondato"":2470,""Norberto_Gonzales"":3535}"
elections-2022-president,0200000000,,Bongbong Marcos,"{""Isko_Moreno"":23881,""Ping_Lacson"":21509,""Leni_Robredo"":168184,""Ernesto_Abella"":3676,""Manny_Pacquiao"":31385,""Bongbong_Marcos"":1608871,""Jose_Montemayor"":2323,""Leody_de_Guzman"":2900,""Faisal_Mangondato"":1738,""Norberto_Gonzales"":2209}"
elections-2022-president,0300000000,,Bongbong Marcos,"{""Isko_Moreno"":240326,""Ping_Lacson"":123397,""Leni_Robredo"":1652668,""Ernesto_Abella"":9327,""Manny_Pacquiao"":110813,""Bongbong_Marcos"":3986906,""Jose_Montemayor"":5131,""Leody_de_Guzman"":8776,""Faisal_Mangondato"":6211,""Norberto_Gonzales"":10112}"
elections-2022-president,0500000000,,Leni Robredo,"{""Isko_Moreno"":33497,""Ping_Lacson"":20938,""Leni_Robredo"":2451454,""Ernesto_Abella"":12063,""Manny_Pacquiao"":99649,""Bongbong_Marcos"":566581,""Jose_Montemayor"":3692,""Leody_de_Guzman"":7077,""Faisal_Mangondato"":2762,""Norberto_Gonzales"":6954}"
elections-2022-president,0900000000,,Bongbong Marcos,"{""Isko_Moreno"":47364,""Ping_Lacson"":14235,""Leni_Robredo"":275574,""Ernesto_Abella"":4723,""Manny_Pacquiao"":351903,""Bongbong_Marcos"":1360817,""Jose_Montemayor"":3135,""Leody_de_Guzman"":3227,""Faisal_Mangondato"":9898,""Norberto_Gonzales"":5201}"
elections-2022-president,1000000000,,Bongbong Marcos,"{""Isko_Moreno"":51289,""Ping_Lacson"":21004,""Leni_Robredo"":277447,""Ernesto_Abella"":6793,""Manny_Pacquiao"":331574,""Bongbong_Marcos"":1736164,""Jose_Montemayor"":3718,""Leody_de_Guzman"":5166,""Faisal_Mangondato"":27337,""Norberto_Gonzales"":5127}"
elections-2022-president,1100000000,,Bongbong Marcos,"{""Isko_Moreno"":24772,""Ping_Lacson"":23885,""Leni_Robredo"":136106,""Ernesto_Abella"":6652,""Manny_Pacquiao"":203187,""Bongbong_Marcos"":2090787,""Jose_Montemayor"":3258,""Leody_de_Guzman"":4322,""Faisal_Mangondato"":6960,""Norberto_Gonzales"":5135}"
